date,MSFT,JPM,JNJ,XOM,PG
2024-07-03,0.22911870,0.18342958,0.15544984,0.19825912,0.23374271
2024-07-05,0.22936624,0.18336573,0.15550098,0.19781563,0.23395146
2024-07-08,0.22987215,0.18323193,0.15557998,0.19712099,0.23419487
2024-07-09,0.23024315,0.18317734,0.15562655,0.19657321,0.23437981
2024-07-10,0.23033072,0.18332717,0.15560068,0.19656813,0.23417334
2024-07-11,0.23042431,0.18347250,0.15556630,0.19659346,0.23394336
2024-07-12,0.23020326,0.18367828,0.15549193,0.19701666,0.23360986
2024-07-15,0.23016375,0.18382864,0.15545012,0.19719529,0.23336226
2024-07-16,0.22998011,0.18406925,0.15535393,0.19782548,0.23277132
2024-07-17,0.22938079,0.18454137,0.15515743,0.19919603,0.23172432
2024-07-18,0.22856109,0.18494609,0.15495859,0.20069878,0.23083551
2024-07-19,0.22803727,0.18527986,0.15478928,0.20185645,0.23003709
2024-07-22,0.22750264,0.18562192,0.15462460,0.20296846,0.22928239
2024-07-23,0.22710669,0.18581216,0.15452054,0.20370604,0.22885451
2024-07-24,0.22652894,0.18604286,0.15436724,0.20480666,0.22825429
2024-07-25,0.22578096,0.18638274,0.15416923,0.20620592,0.22746111
2024-07-26,0.22524962,0.18677536,0.15397747,0.20744917,0.22654843
2024-07-29,0.22444928,0.18714026,0.15376803,0.20894451,0.22569796
2024-07-30,0.22378486,0.18743864,0.15360558,0.20996019,0.22521079
2024-07-31,0.22352508,0.18734892,0.15359399,0.21003473,0.22549725
2024-08-01,0.22306810,0.18752016,0.15348691,0.21060988,0.22531489
2024-08-02,0.22230044,0.18796243,0.15327555,0.21152097,0.22494058
2024-08-05,0.22144283,0.18826537,0.15307614,0.21247020,0.22474541
2024-08-06,0.22082865,0.18856396,0.15289579,0.21327144,0.22444016
2024-08-07,0.22039349,0.18865879,0.15279672,0.21381582,0.22433522
2024-08-08,0.22013891,0.18867397,0.15274523,0.21417779,0.22426412
2024-08-09,0.21985804,0.18862124,0.15271036,0.21448956,0.22432081
2024-08-12,0.21963592,0.18857500,0.15268598,0.21465743,0.22444572
2024-08-13,0.21937208,0.18843712,0.15267868,0.21497436,0.22453775
2024-08-14,0.21916929,0.18850137,0.15262672,0.21535175,0.22435087
2024-08-15,0.21929418,0.18837754,0.15266763,0.21524380,0.22441682
2024-08-16,0.21993920,0.18806885,0.15281366,0.21453688,0.22464152
2024-08-19,0.22070627,0.18792678,0.15293790,0.21380377,0.22462530
2024-08-20,0.22109120,0.18796080,0.15298025,0.21346763,0.22450018
2024-08-21,0.22141702,0.18805063,0.15300772,0.21313390,0.22439069
2024-08-22,0.22168934,0.18811922,0.15302406,0.21286236,0.22430505
2024-08-23,0.22192401,0.18824126,0.15302198,0.21263620,0.22417665
2024-08-26,0.22215116,0.18846086,0.15298019,0.21259543,0.22381233
